2026-03-04 15:25:08,113 INFO Ambiguous classification for /home/azazh-wuletawu/Documents/10x Intensive Training/W3/code_implementation/RefineryAI-Document-Intelligence-Pipeline/sample/mixed_CBE Annual Report 2017-18.pdf: origin=native_digital, char_density=0.004, image_ratio=0.065, domain=financial (score=100), layout=multi_column
2026-03-04 15:25:12,535 INFO Ambiguous classification for /home/azazh-wuletawu/Documents/10x Intensive Training/W3/code_implementation/RefineryAI-Document-Intelligence-Pipeline/sample/digital_CBE Annual Report 2012-13.pdf: origin=native_digital, char_density=0.002, image_ratio=0.095, domain=financial (score=100), layout=multi_column
2026-03-04 15:32:04,135 INFO Ambiguous classification for /home/azazh-wuletawu/Documents/10x Intensive Training/W3/code_implementation/RefineryAI-Document-Intelligence-Pipeline/sample/mixed_CBE Annual Report 2017-18.pdf: origin=native_digital, char_density=0.004, image_ratio=0.065, domain=financial (score=100), layout=multi_column
2026-03-04 15:32:08,396 INFO Ambiguous classification for /home/azazh-wuletawu/Documents/10x Intensive Training/W3/code_implementation/RefineryAI-Document-Intelligence-Pipeline/sample/digital_CBE Annual Report 2012-13.pdf: origin=native_digital, char_density=0.002, image_ratio=0.095, domain=financial (score=100), layout=multi_column
2026-03-04 15:32:18,466 INFO Ambiguous classification for sample/digital_CBE Annual Report 2012-13.pdf: origin=native_digital, char_density=0.002, image_ratio=0.095, domain=financial (score=100), layout=multi_column
2026-03-04 15:32:58,324 INFO Ambiguous classification for sample/mixed_CBE Annual Report 2017-18.pdf: origin=native_digital, char_density=0.004, image_ratio=0.065, domain=financial (score=100), layout=multi_column
2026-03-04 15:45:13,765 INFO Ambiguous classification for /home/azazh-wuletawu/Documents/10x Intensive Training/W3/code_implementation/RefineryAI-Document-Intelligence-Pipeline/sample/mixed_CBE Annual Report 2017-18.pdf: origin=scanned_image, char_density=0.004, image_ratio=0.065, domain=financial (score=100), layout=multi_column
2026-03-04 15:45:18,041 INFO Ambiguous classification for /home/azazh-wuletawu/Documents/10x Intensive Training/W3/code_implementation/RefineryAI-Document-Intelligence-Pipeline/sample/digital_CBE Annual Report 2012-13.pdf: origin=scanned_image, char_density=0.002, image_ratio=0.095, domain=financial (score=100), layout=multi_column
2026-03-04 15:45:28,143 INFO Ambiguous classification for sample/digital_CBE Annual Report 2012-13.pdf: origin=scanned_image, char_density=0.002, image_ratio=0.095, domain=financial (score=100), layout=multi_column
2026-03-04 15:52:32,749 INFO Ambiguous classification for /home/azazh-wuletawu/Documents/10x Intensive Training/W3/code_implementation/RefineryAI-Document-Intelligence-Pipeline/sample/mixed_CBE Annual Report 2017-18.pdf: origin=scanned_image, char_density=0.004, image_ratio=0.065, domain=financial (score=100), layout=multi_column
2026-03-04 15:52:37,094 INFO Ambiguous classification for /home/azazh-wuletawu/Documents/10x Intensive Training/W3/code_implementation/RefineryAI-Document-Intelligence-Pipeline/sample/digital_CBE Annual Report 2012-13.pdf: origin=scanned_image, char_density=0.002, image_ratio=0.095, domain=financial (score=100), layout=multi_column
2026-03-04 15:52:47,176 INFO Ambiguous classification for sample/digital_CBE Annual Report 2012-13.pdf: origin=scanned_image, char_density=0.002, image_ratio=0.095, domain=financial (score=100), layout=multi_column
2026-03-04 15:59:22,966 INFO Ambiguous classification for /home/azazh-wuletawu/Documents/10x Intensive Training/W3/code_implementation/RefineryAI-Document-Intelligence-Pipeline/sample/mixed_CBE Annual Report 2017-18.pdf: origin=scanned_image, char_density=0.004, image_ratio=0.065, domain=financial (score=100), layout=multi_column
2026-03-04 15:59:27,117 INFO Ambiguous classification for /home/azazh-wuletawu/Documents/10x Intensive Training/W3/code_implementation/RefineryAI-Document-Intelligence-Pipeline/sample/digital_CBE Annual Report 2012-13.pdf: origin=scanned_image, char_density=0.002, image_ratio=0.095, domain=financial (score=100), layout=multi_column
2026-03-04 15:59:37,342 INFO Ambiguous classification for sample/digital_CBE Annual Report 2012-13.pdf: origin=scanned_image, char_density=0.002, image_ratio=0.095, domain=financial (score=100), layout=multi_column
2026-03-04 16:02:22,694 INFO Ambiguous classification for /home/azazh-wuletawu/Documents/10x Intensive Training/W3/code_implementation/RefineryAI-Document-Intelligence-Pipeline/sample/mixed_CBE Annual Report 2017-18.pdf: origin=mixed, char_density=0.004, image_ratio=0.065, domain=financial (score=100), layout=multi_column
2026-03-04 16:02:26,958 INFO Ambiguous classification for /home/azazh-wuletawu/Documents/10x Intensive Training/W3/code_implementation/RefineryAI-Document-Intelligence-Pipeline/sample/digital_CBE Annual Report 2012-13.pdf: origin=mixed, char_density=0.002, image_ratio=0.095, domain=financial (score=100), layout=multi_column
